"STATION","DATE","LATITUDE","LONGITUDE","SEA_SURF_TEMP","SST_MM"
"DHEB","2003-12-06T12:00:00","36.80","-0.70","64.4","1"
"DHEB","2003-12-07T00:00:00","36.10","-6.10","66.2","1"
"DHEB","2003-12-20T12:00:00","36.20","-3.60","64.4","1"
"DHEB","2003-12-06T00:00:00","37.60","5.20","66.2","1"
"DHEB","2003-12-21T00:00:00","37.30","2.40","62.6","1"
"DHEB","2003-12-21T12:00:00","37.50","8.70","64.4","1"
"DHEB","2003-12-05T00:00:00","35.70","17.30","69.8","1"
"DHEB","2003-12-05T12:00:00","37.20","11.40","66.2","1"
"DHEB","2003-12-22T00:00:00","36.30","14.60","64.4","1"
"DHEB","2003-12-22T06:00:00","35.60","17.40","66.2","1"
"DHEB","2003-12-04T00:00:00","32.60","28.60","71.6","1"
"DHEB","2003-12-04T12:00:00","34.20","23.00","71.6","1"
"DHEB","2003-12-22T12:00:00","34.80","20.50","64.4","1"
"DHEB","2003-12-23T06:00:00","32.60","28.70","68.0","1"
"DHEB","2003-12-18T12:00:00","49.90","-3.00","57.2","1"
"VRCV","2003-12-02T06:00:00","32.70","29.20",,"1"
"DPUW","2003-12-08T12:00:00","36.70","-0.80","63.9","7"
"DPUW","2003-12-09T00:00:00","36.10","-5.90","65.7","7"
"DPUW","2003-12-20T18:00:00","36.30","-2.70","64.4","7"
"DPUW","2003-12-08T00:00:00","37.40","5.30","63.0","7"
"DPUW","2003-12-21T06:00:00","37.20","3.40","64.0","7"
"DPUW","2003-12-21T18:00:00","37.40","9.50","63.9","7"
"DPUW","2003-12-07T00:00:00","35.50","16.50","69.6","7"
"DPUW","2003-12-07T12:00:00","37.10","10.50","65.1","7"
"DPUW","2003-12-22T06:00:00","36.00","15.40","64.9","7"
"DPUW","2003-12-06T00:00:00","32.50","29.10","69.6","7"
"DPUW","2003-12-06T06:00:00","33.30","26.10","70.7","7"
"DPUW","2003-12-18T18:00:00","49.10","-5.50",,
"PBVO","2003-12-16T18:00:00","50.00","-1.00","48.2","1"
"PBVO","2003-12-16T19:00:00","50.00","-1.00","48.2","1"
"DIGW","2003-12-03T09:00:00","37.30","2.80","62.6","1"
"DIGW","2003-12-03T12:00:00","37.10","1.40",,
"DIGW","2003-12-01T21:00:00","35.10","19.80","69.8","1"
"DIGW","2003-12-02T06:00:00","36.20","15.60","66.2","1"
"DIGW","2003-12-02T09:00:00","36.50","14.20","68.0","1"
"DIGW","2003-12-02T12:00:00","36.90","12.90",,
"DIGW","2003-12-01T09:00:00","33.70","25.10","69.8","1"
"DQVJ","2003-12-14T18:00:00","36.70","-0.20","63.5","1"
"DQVJ","2003-12-15T06:00:00","35.90","-5.70","65.1","1"
"DQVJ","2003-12-27T06:00:00","36.20","-2.90","62.2","1"
"DQVJ","2003-12-27T12:00:00","36.60","-0.20","63.3","1"
"DQVJ","2003-12-14T00:00:00","37.50","8.00","64.6","1"
"DQVJ","2003-12-14T06:00:00","37.20","5.20","64.0","1"
"DQVJ","2003-12-14T12:00:00","37.00","2.40","64.0","1"
"DQVJ","2003-12-28T06:00:00","37.30","8.80","62.6","1"
"DQVJ","2003-12-13T00:00:00","35.20","18.90","69.3","1"
"DQVJ","2003-12-13T06:00:00","35.90","16.20","67.1","1"
"DQVJ","2003-12-13T12:00:00","36.60","13.40","67.3","1"
"DQVJ","2003-12-13T18:00:00","37.30","10.70","65.1","1"
"DQVJ","2003-12-28T12:00:00","37.00","11.50","62.2","1"
"DQVJ","2003-12-28T18:00:00","36.30","14.20","64.0","1"
"DQVJ","2003-12-29T00:00:00","35.60","16.90","65.3","1"
"DQVJ","2003-12-29T06:00:00","34.90","19.60","65.7","1"
"DQVJ","2003-12-12T00:00:00","32.40","29.60","68.9","1"
"DQVJ","2003-12-12T06:00:00","33.10","27.00","71.4","1"
"DQVJ","2003-12-12T12:00:00","33.80","24.30","70.7","1"
"DQVJ","2003-12-12T18:00:00","34.50","21.60","70.5","1"
"DQVJ","2003-12-29T12:00:00","34.30","22.30","65.8","1"
"DQVJ","2003-12-30T00:00:00","33.00","27.30","67.1","1"
"DQVJ","2003-12-25T06:00:00","49.00","-5.40","55.8","1"
"VQOG5","2003-12-21T18:00:00","36.00","-4.80","59.0","1"
"VQOG5","2003-12-22T00:00:00","36.40","-3.00","59.9","1"
"VQOG5","2003-12-22T06:00:00","37.00","-1.30","59.2","1"
"VQOG5","2003-12-22T12:00:00","38.20","0.00","58.5","1"
"VQOG5","2003-12-22T18:00:00","39.10","1.00","57.0","1"
"VQOG5","2003-12-26T00:00:00","39.20","5.00","57.7","1"
"VQOG5","2003-12-26T06:00:00","37.50","4.60","58.1","1"
"VQOG5","2003-12-18T18:00:00","49.40","-3.50","52.5","1"
"VQOG5","2003-12-19T00:00:00","48.90","-5.80","52.5","1"
"VQOG5","2003-12-23T00:00:00","40.10","2.50","55.8","1"
"VQOG5","2003-12-23T12:00:00","42.50","3.80","55.2","1"
"VQOG5","2003-12-23T18:00:00","42.20","4.20","55.2","1"
"VQOG5","2003-12-25T12:00:00","42.20","5.00","54.5","1"
"DQVM","2003-12-22T12:00:00","36.00","-5.10","63.3","3"
"DQVM","2003-12-21T00:00:00","37.60","9.70","63.3","3"
"DQVM","2003-12-21T06:00:00","37.40","7.10","62.8","3"
"DQVM","2003-12-21T12:00:00","37.20","4.60","63.5","3"
"DQVM","2003-12-21T18:00:00","36.90","2.20","63.1","3"
"DQVM","2003-12-22T00:00:00","36.70","0.00","62.8","3"
"DQVM","2003-12-20T00:00:00","35.10","19.90","67.5","3"
"DQVM","2003-12-20T06:00:00","35.70","17.20","66.2","3"
"DQVM","2003-12-20T12:00:00","36.40","14.60","65.1","3"
"DQVM","2003-12-20T18:00:00","37.00","12.10","64.6","3"
"DQVM","2003-12-19T00:00:00","32.50","29.90","67.8","3"
"DQVM","2003-12-19T06:00:00","33.00","27.80","69.6","3"
"DQVM","2003-12-19T12:00:00","33.70","25.20","68.0","3"
"DQVM","2003-12-19T18:00:00","34.40","22.60","64.4","3"
"DQVM","2003-12-18T18:00:00","32.10","31.50","69.8","3"
"DQVM","2003-12-24T12:00:00","47.70","-5.30","56.7","3"
"DQVN","2003-12-01T00:00:00","36.20","-3.50","66.4","1"
"DQVN","2003-12-14T00:00:00","36.10","-4.00","64.0","3"
"DQVN","2003-12-14T06:00:00","36.50","-1.20","64.0","3"
"DQVN","2003-12-14T12:00:00","36.80","1.40","63.7","3"
"DQVN","2003-12-14T18:00:00","37.10","4.30","64.9","1"
"DQVN","2003-12-15T00:00:00","37.20","7.00","65.7","3"
"DQVN","2003-12-15T06:00:00","37.40","9.80","65.8","1"
"DQVN","2003-12-15T12:00:00","36.20","12.20","66.0","3"
"DQVN","2003-12-15T18:00:00","36.20","14.90","66.7","1"
"DQVN","2003-12-16T00:00:00","35.50","17.30","66.9","3"
"DQVN","2003-12-16T06:00:00","34.90","19.90","70.2","1"
"DQVN","2003-12-16T12:00:00","34.20","22.30","68.5","3"
"DQVN","2003-12-16T18:00:00","33.60","24.70","70.5","1"
"DQVN","2003-12-17T00:00:00","33.00","27.00","71.2","3"
"DQVN","2003-12-17T06:00:00","32.40","29.40","71.2","3"
"DQVN","2003-12-18T06:00:00","31.40","32.30","67.8","1"
"DQVN","2003-12-18T18:00:00","31.40","32.30","67.3","1"
"DQVN","2003-12-12T00:00:00","49.00","-5.40","55.8","3"
"FNJI","2003-12-01T09:00:00","37.20","6.80","70.7","3"
"FNJI","2003-12-01T12:00:00","38.00","6.60","70.9","3"
"FNJI","2003-12-01T15:00:00","38.80","6.30","71.2","3"
"FNJI","2003-12-01T18:00:00","39.70","6.20","71.1","3"
"FNJI","2003-12-04T06:00:00","39.10","6.60","70.3","3"
"FNJI","2003-12-04T09:00:00","38.30","6.60","70.2","3"
"FNJI","2003-12-04T12:00:00","37.50","6.80","70.0","3"
"FNJI","2003-12-04T15:00:00","36.80","6.90","70.5","3"
"FNJI","2003-12-05T12:00:00","36.90","6.90","70.5","3"
"FNJI","2003-12-05T15:00:00","37.70","6.70","70.2","3"
"FNJI","2003-12-05T18:00:00","38.50","6.40","70.3","3"
"FNJI","2003-12-05T21:00:00","39.30","6.20","70.2","3"
